"Bob,Express","El,Rio","Fury","Indiana,River","Mount,Mara,VR","Naga,Bay","Oki,Doki","Revolution","Speedy,Bob","The,Dreamcatcher","Typhoon","Wildwaterbaan",time
0,0,0,0,0,0,0,0,0,0,0,0,20221024 160001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 161002
0,0,0,0,0,0,0,0,0,0,0,0,20221024 162001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 163001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 164001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 165001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 170001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 171001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 172001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 173001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 174001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 175001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 180001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 181001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 182001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 183001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 184001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 185001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 190001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 191001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 192001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 193001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 194001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 195001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 200001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 201001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 202001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 203001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 204001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 205001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 210001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 211001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 212001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 213001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 214001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 215001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 220001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 221001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 222001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 223001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 224001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 225001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 230001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 231001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 232001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 233001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 234001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 235001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 000001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 001001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 002001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 003001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 004001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 005001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 010001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 011001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 012001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 013001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 014001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 015001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 020001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 021001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 022001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 023001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 024001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 025001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 030001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 031001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 032001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 033001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 034001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 035001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 040001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 041001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 042001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 043001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 044001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 045001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 050001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 051001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 052001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 053001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 054001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 055001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 060001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 061001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 062001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 063001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 064001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 065001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 070001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 071001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 072001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 073001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 074001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 075001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 080001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 081001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 082001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 083001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 084001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 085001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 090001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 091001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 092001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 093002
0,0,0,0,0,0,0,0,0,0,0,0,20221025 094001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 095001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 100002
0,0,0,0,0,0,0,0,0,0,0,0,20221025 101001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 102002
0,0,0,0,0,0,0,0,0,0,0,0,20221025 103001
